OID_,TreID_1,DATEPLANTE,nw_ddrs,GGC_PUB,REPLACE,COMMENT,Cultivar,GGC_SEA,GGC_YEA,CITY_GG,Family,Genus,Deciduous,Broadleaf,Species,Native_Sta,DBH_dcr,Hght_dc,ADDRESS,OWNERAD,RD_NUM,RD_NUMB,RD_NAME,RD_SUFF,dt_strn,BSp_17,Cmmnt_1,DBH1_17,DBH2_17,Hght_17,LUse_17,M_17,StTp_17,V_17,Wth_17,CommonName,NewTrID,Rnd_Smp,H17_Smp,DBH2H_17,DBH1H_17,HERO2017,StTp_24,LUse_24,Bsp_24,V_24,Con_24,Com_24,Crew_24,DBH1_24,DBH1H_24,DBH2_24,DBH2H_24,Hgt_24,Wth_24,D_24,M_24,CreationDate,Creator,EditDate,Editor,X,Y
1503,200960,6/3/2016,601 BROADWAY,PRIVATE, , ,Malus spp.,SPRING,2016,CHELSEA,Rosaceae,Malus,Deciduous,Broadleaf,Malus spp.,Non Native,0, , ,601 Broadway,601, ,BROADWAY, ,62016,1, ,0.8,0,8,INST,A, ,14,4.166666667,Apple,1684,0,1,0,54,1,OM,INST,Yes,1,Good, , ML TH EG,3.5,35,0,0,11.6,13,6/26/2024 19:11,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238619.1073,904976.0046
751,201054,6/6/2014,BROADWAY,PRIVATE, ,St. Rose Rectory,Abies concolor,SPRING,2014,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies concolor,Native,0, , , ,0, ,BROADWAY, ,62014,1, ,2.11,0,8.5,INST,A, ,9,4.875,White Fir,1441,1,1,0,54,1,OM,INST,No,1,Good, , ML TH EG,5.3,54,0,0,16.5,8.5,6/26/2024 19:20,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238628.654,904972.9925
1309,200590,5/15/2015,601 BROADWAY,PRIVATE, ,Phone for rectory,Cornus mas,SPRING,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus mas,Non Native,0, , ,601 Broadway,601, ,BROADWAY, ,52015,1, ,1.67,0,7,INST,A, ,9,3.75,Cornelian Cherry,524,0,1,0,54,1,OM,INST,No,1,Good, , ML TH EG,4.9,6,0,0,13.5,8.5,6/26/2024 19:23,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238626.6153,904968.357
750,200503,6/6/2014,BROADWAY,PRIVATE, ,St. Rose Rectory,Magnolia x loebneri 'Leonard Messel',SPRING,2014,CHELSEA,Magnoliaceae,Magnolia,Deciduous,Broadleaf,Magnolia x loebneri,Non Native,0, , , ,0, ,BROADWAY, ,62014,1, ,1.4,0,5.666666667,INST,A, ,8,3.916666667,Loebner Magnolia,1440,1,1,0,16,1,OM,INST,No,1,Good, , ML TH EG,5.9,9,0,0,11.6,12,6/26/2024 19:24,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238638.6447,904969.1997
881,200662,6/3/2016,BROADWAY,PRIVATE, , ,Abies fraseri,SPRING,2016,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies fraseri,Non Native,0, , ,601-603 Broadway,0, ,BROADWAY, ,62016,1, ,1.1,0,6,INST,A,SY,8,4.208333333,Fraser Fir,1688,1,1,0,54,1,OM,INST, , , , , TH ML EGB,0,0,0,0,0,0,6/26/2024 19:09,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:58,ANelson_clarku,238611.5857,904978.908
1504,200270,5/31/2016,89 JEFFERSON AVENUE,PRIVATE,Yes,Replacement tree,Liriodendron tulipifera,SPRING,2016,CHELSEA,Magnoliaceae,Liriodendron,Deciduous,Broadleaf,Liriodendron tulipifera,Native,0, , ,89 Jefferson Ave,89,89,JEFFERSON,AVENUE,52016,1, ,1.12,0,10.5,SFR,A,FY,7,5.625,Tulip Tree,1689,0,1,0,54,1,FY,SFR-D,No,1,Good, , TH AC QCM ,5.6,50,0,0,18,15,6/25/2024 18:28,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238712.9377,905989.9165
1432,200473,4/29/2014,ESSEX STREET,PUBLIC, , ,Cornus spp.,SPRING,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus spp.,Non Native,0, , ,Corner of Pearl & Essex St,0, ,ESSEX,STREET,42014,N, ,1.91,0,12.5,COMM,SD,SC,5,3.833333333,Dogwood,1509,0,1,0,48,1,SC,COMM, , , , , ACEGBJRK,0,0,0,0,0,0,6/24/2024 17:40,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238082.3528,904438.0258
1483,200594,6/5/2014,101 PARK STREET,PUBLIC, , ,Acer x freemanii 'Armstrong',SPRING,2014,CHELSEA,Sapindaceae,Acer,Deciduous,Broadleaf,Acer x freemanii,Non Native,0, , ,101 Park St,101,101,PARK,STREET,62014,N,carvings on tree trunk,1.89,0,15,COMM,SD,SC,5,2.791666667,Freeman Maple,1628,0,1,0,54,1,SC,COMM, , , ,  Replaced with an elm, ACEGBJRK,0,0,0,0,0,0,6/24/2024 17:38,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238043.3384,904453.9821
1316,200147,4/16/2015,20 BROADWAY,PUBLIC, , ,Amelanchier arborea,SPRING,2015,CHELSEA,Rosaceae,Amelanchier,Deciduous,Broadleaf,Amelanchier arborea,Native,0, , ,20 Broadway,20, ,BROADWAY, ,42015,N,Species inccorect dead,2.9,0,16,IND,SD,SC,5,7.458333333,Downy Serviceberry,551,0,1,0,54,1,SC,IND, , , , , ACEGBJRK,0,0,0,0,0,0,6/24/2024 13:36,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,237499.1238,904194.4095
221,201039,11/12/2015,738 BROADWAY,PUBLIC, , ,Cercidiphyllum japonicum,FALL,2015,CHELSEA,Cercidiphyllaceae,Cercidiphyllum,Deciduous,Broadleaf,Cercidiphyllum japonicum,Non Native,0, , ,738 Broadway,738, ,BROADWAY, ,112015,N,In front of Inglesia la luz de cristo,0,0,0,IND,SD,SC,5,0,Katsura Tree,353,1,1,0,0,1,SC,INST, , , , , EGB ML TH,0,0,0,0,0,0,6/27/2024 18:11,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:54,ANelson_clarku,238899.9796,905227.2792
308,201242,4/21/2015,21 GERRISH AVENUE,PUBLIC, , ,Styphnolobium japonicum,SPRING,2015,CHELSEA,Fabaceae,Styphnolobium,Deciduous,Broadleaf,Styphnolobium japonicum,Non Native,0, , ,21 Gerrish ave,21, ,GERRISH,AVENUE,42015,N, ,1.1,0,8,MFR,SD,SC,5,3.625,Japanese Pagoda Tree,557,1,1,0,54,1,SC,MFR, , , , , ML EGB TH,0,0,0,0,0,0,6/26/2024 19:00,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:55,ANelson_clarku,238664.2315,904960.2872
312,200967,4/28/2015,433 EASTERN AVENUE,PUBLIC, , ,Prunus serrulata,SPRING,2015,CHELSEA,Rosaceae,Prunus,Deciduous,Broadleaf,Prunus serrulata,Non Native,0, , ,433 Eastern ave,433, ,EASTERN,AVENUE,42015,N, ,0,0,14.5,MFR,SD,SC,5,0,Japanese Cherry,580,1,1,0,0,1,SC,MFR, , , , , ACJRK,0,0,0,0,0,0,6/27/2024 18:07,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:55,ANelson_clarku,239553.6134,905689.8153
699,200302,9/25/2014,GROVE STREET,PUBLIC, , ,Cornus mas,FALL,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus mas,Non Native,0, , ,128 Grove St,0, ,GROVE,STREET,92014, ,improper staking,0,0,0,MFR,SD,SC,5,0,Cornelian Cherry,1309,1,1,0,0,1,SC,MFR, , , , , EGB TH ML,0,0,0,0,0,0,6/26/2024 14:55,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238883.8419,904692.7776
700,200395,9/25/2014,GROVE STREET,PUBLIC, , ,Cornus mas,FALL,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus mas,Non Native,0, , ,132 Grove St,0, ,GROVE,STREET,92014, , ,0,0,0,MFR,SD,SC,5,0,Cornelian Cherry,1310,1,1,0,0,1,SC,MFR, , , , , EGB TH ML,0,0,0,0,0,0,6/26/2024 14:54,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238901.6482,904688.132
825,200648,5/13/2014,SHURTLEFF STREET,PUBLIC, , ,Cornus spp.,SPRING,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus spp.,Non Native,0, , ,32 Shurtleff St,0, ,SHURTLEFF,STREET,52014,N, ,2.03,0,12.5,MFR,SD,SC,5,4.5,Dogwood,1557,1,1,0,33,1,SC,MFR, , , , , ACEGBJRK,0,0,0,0,0,0,6/24/2024 19:40,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238208.7595,904301.1594
852,200071,5/28/2014,LYNN STREET,PUBLIC, , ,Cornus spp.,SPRING,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus spp.,Non Native,0, , ,9 Lynn St,0, ,LYNN,STREET,52014,N, ,2.5,0,12,MFR,SD,SC,5,4.875,Dogwood,1609,1,1,0,28,1,SC,MFR, , , , Replaced, JRK TH,0,0,0,0,0,0,6/25/2024 19:42,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:58,ANelson_clarku,238561.4128,904476.1095
1300,201187,11/10/2015,92 MARLBORO STREET,PUBLIC, , ,Cornus spp.,FALL,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus spp.,Non Native,0, , ,92 Franklin Ave,92, ,MARLBORO,STREET,112015,N, ,0.07,0,7,MFR,SD,SC,5,2.083333333,Dogwood,344,0,1,0,54,1,SC,MFR, , , , , TH ML EGB,0,0,0,0,0,0,6/26/2024 15:29,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238759.5501,904783.9983
1333,200845,4/28/2015,437 EASTERN AVENUE,PUBLIC, , ,Cornus x rutgersensis CELESTIAL 'Rutdan',SPRING,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus x rutgersensis,Non Native,0, , ,437 Eastern ave,437, ,EASTERN,AVENUE,42015, , ,0,0,10.5,MFR,SD,SC,5,0,Rutgers Hybrid Dogwood,579,0,1,0,0,1,SC,MFR, , , , , ACJRK,0,0,0,0,0,0,6/27/2024 18:10,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,239556.904,905703.8005
1348,201046,5/14/2015,1 ALBION PLACE,PUBLIC, ,across 21 Blossom st,Cornus x rutgersensis CELESTIAL 'Rutdan',SPRING,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus x rutgersensis,Non Native,0, , ,1 Albion Place,1, ,ALBION,PLACE,52015, , ,0,0,0,MFR,SD,SC,5,0,Rutgers Hybrid Dogwood,614,0,1,0,0,1,SC,MFR, , , , , AN KS,0,0,0,0,0,0,6/27/2024 15:23,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238436.4345,905216.0861
1353,200195,5/27/2015,40 TUDOR STREET,PUBLIC, , ,Cornus x rutgersensis STELLAR PINK 'Rutgan',SPRING,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus x rutgersensis,Non Native,0, , ,40 Tudor st,40, ,TUDOR,STREET,52015,N, ,0,0,0,MFR,SD,SC,5,0,Rutgers Hybrid Dogwood,630,0,1,0,0,1,SC,MFR, , , , , JA AEC QCM ,0,0,0,0,0,0,6/25/2024 15:04,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238642.2505,905288.7431
1407,200685,10/8/2014,CENTRAL AVENUE,PUBLIC, , ,Acer rubrum,FALL,2014,CHELSEA,Sapindaceae,Acer,Deciduous,Broadleaf,Acer rubrum,Native,0, , ,102 Central Ave,0, ,CENTRAL,AVENUE,102014,N,next to 201206,1.8,0,13,MFR,SD,SC,5,3.041666667,Red Maple,1342,0,1,0,54,1,SC,MFR, , , , , JRK TH,0,0,0,0,0,0,6/25/2024 19:15,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238580.0319,904424.3683
1468,200705,5/21/2014,CENTRAL AVENUE,PUBLIC, , ,Acer x freemanii 'Armstrong',SPRING,2014,CHELSEA,Sapindaceae,Acer,Deciduous,Broadleaf,Acer x freemanii,Non Native,0, , ,207 Central Ave,0, ,CENTRAL,AVENUE,52014,N, ,1.62,0,14,MFR,SD,SC,5,1.208333333,Freeman Maple,1598,0,1,0,54,1,SC,MFR, , , , , TH EGB ML,0,0,0,0,0,0,6/26/2024 13:15,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238894.8009,904320.27
716,200121,10/2/2014,7 GARDNER STREET,PUBLIC, , ,Cornus mas,FALL,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus mas,Non Native,0, , ,7 Gardner St,7, ,GARDNER,STREET,102014,N, ,0,0,0,IND,SD,SC,5,0,Cornelian Cherry,1346,1,1,0,0,1,MP,MP, , , , , JA AEC QCM ,0,0,0,0,0,0,6/25/2024 14:47,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238653.3338,905379.8862
1421,200461,11/20/2014,MARY O'MALLEY PARK,PRIVATE, ,Contact:Mark Peterson 617-233-2953,Picea glauca,FALL,2014,CHELSEA,Pinaceae,Picea,Evergreen,Conifer,Picea glauca,Native,0, , ,251 Causeway St,0, ,MARY O'MALLEY PARK, ,112014,N,Stump with alive branchs,0,0,0.25,MP,SD,MP,5,3.083333333,White Spruce,1364,0,1,0,0,1,MP,MP, , , , , JAKS,0,0,0,0,0,0,6/24/2024 13:56,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,236821.8364,904296.4771
343,200087,6/3/2015,WASHINGTON AVENUE,PUBLIC,Yes,replacement cercidiphyllum japonicum 20150416,Amelanchier arborea,SPRING,2015,CHELSEA,Rosaceae,Amelanchier,Deciduous,Broadleaf,Amelanchier arborea,Native,0, , ,28 - 40 Washington ave,0, ,WASHINGTON,AVENUE,62015,N,replacement cercidiphyllum japonicum 2015/04/16,1.93,0,12,COMM,SD,SC,5,3,Downy Serviceberry,642,1,1,0,54,1,SC,MX, , , , , TH ML EGB,0,0,0,0,0,0,6/27/2024 15:06,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:55,ANelson_clarku,238387.0422,904926.4795
703,200411,9/30/2014,85 6TH STREET,PUBLIC, , ,Cornus mas,FALL,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus mas,Non Native,0, , ,85 Sixth St,85, ,6TH,STREET,92014, , ,0,0,0,SFR,SD,SC,5,0,Cornelian Cherry,1318,1,1,0,0,1,SC,SFR-D, , , , , AN KC,0,0,0,0,0,0,6/27/2024 14:45,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238234.1233,905213.3027
859,201220,6/4/2014,CREST AVENUE,PUBLIC, , ,Cercidiphyllum japonicum,SPRING,2014,CHELSEA,Cercidiphyllaceae,Cercidiphyllum,Deciduous,Broadleaf,Cercidiphyllum japonicum,Non Native,0, , ,7 Crest Ave,0, ,CREST,AVENUE,62014,N, ,1.51,0,11,SFR,SD,SC,5,4.375,Katsura Tree,1624,1,1,0,54,1,SC,SFR-D, , , , ,  ML AOC JHK,0,0,0,0,0,0,6/25/2024 15:13,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:58,ANelson_clarku,239157.9567,905562.7058
1298,200315,11/9/2015,135 COOK AVENUE,PUBLIC, , ,Cornus spp.,FALL,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus spp.,Non Native,0, , ,135 Cook Ave,135, ,COOK,AVENUE,112015, , ,0,0,0, ,SD,SC,5,0,Dogwood,340,0,1,0,0,1,SC,SFR-D, , , , , AN ML,0,0,0,0,0,0,6/24/2024 20:08,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238276.3246,906717.5448
752,200069,6/6/2014,BROADWAY,PRIVATE, ,St. Rose Rectory,Abies fraseri,SPRING,2014,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies fraseri,Non Native,0, , , ,0, ,BROADWAY, ,62014,1, ,1.11,0,6,INST,SD,SY,5,4.041666667,Fraser Fir,1442,1,1,0,44,1,OM,INST, , , , , ML EGB TH,0,0,0,0,0,0,6/26/2024 19:16,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238623.2887,904977.8953
753,200144,6/26/2014,BROADWAY,PRIVATE, ,St. Rose Rectory,Abies fraseri,SPRING,2014,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies fraseri,Non Native,0, , , ,0, ,BROADWAY, ,62014,1, ,1.1,0,5.5,INST,SD,SY,5,3.833333333,Fraser Fir,1443,1,1,0,54,1,OM,INST, , , , , ML EGB TH,0,0,0,0,0,0,6/26/2024 19:09,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238616.7207,904982.0581
754,200317,6/6/2014,BROADWAY,PRIVATE, ,St. Rose Rectory,Abies fraseri,SPRING,2014,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies fraseri,Non Native,0, , , ,0, ,BROADWAY, ,62014,1, ,2.7,0,6,INST,SD,SY,5,4.208333333,Fraser Fir,1444,1,1,0,54,1,OM,INST,No,1,Good, , ML TH EG,3.2,54,0,0,12,5.5,6/26/2024 19:14,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238620.1435,904979.5604
878,200554,6/3/2016,BROADWAY,PRIVATE, , ,Abies concolor,SPRING,2016,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies concolor,Native,0, , ,601-603 Broadway,0, ,BROADWAY, ,62016,1, ,2.11,0,8,INST,SD, ,5,4.625,White Fir,1685,1,1,0,54,1,OM,INST,No,1,Good, , ML TH EG,3.5,54,0,0,13.5,6.5,6/26/2024 19:18,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:58,ANelson_clarku,238628.6796,904976.3814
844,200169,5/19/2014,111 BELLINGHAM STREET,PRIVATE, , ,Metasequoia glyptostroboides,SPRING,2014,CHELSEA,Cupressaceae,Metasequoia,Deciduous,Conifer,Metasequoia glyptostroboides,Non Native,0, , ,111 Bellingham St,111,111,BELLINGHAM,STREET,52014,N, ,1.21,0,9,MP,SD,MP,5,3.541666667,Dawn Redwood,1584,1,1,0,54,1,MP,MP, , , , Removed, JRK TH,0,0,0,0,0,0,6/25/2024 17:52,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238778.8098,904598.5507
231,200220,5/6/2015,56 SPENCER AVENUE,PRIVATE, , ,Prunus cerasifera,SPRING,2015,CHELSEA,Rosaceae,Prunus,Deciduous,Broadleaf,Prunus cerasifera,Non Native,0, , ,2 Main Street Terrace,56, ,SPENCER,AVENUE,52015,1, ,1.75,0,12.5,SFR,Y,FY,4,8.083333333,Cherry Plum,371,1,1,0,150,1,SC,MFR,Yes,1,Good, , EGB ML TH,7,27,0,0,22.5,24,6/27/2024 18:46,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:54,ANelson_clarku,239029.3286,905231.2877
879,200490,6/3/2016,BROADWAY,PRIVATE, , ,Abies concolor,SPRING,2016,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies concolor,Native,0, , ,601-603 Broadway,0, ,BROADWAY, ,62016,1, ,2.28,0,7.5,INST,A, ,4,4,White Fir,1686,1,1,0,54,1,OM,INST,No,1,Good, , ML TH EG,3.1,54,0,0,9,6,6/26/2024 19:21,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:58,ANelson_clarku,238631.3176,904974.7986
880,200817,6/3/2016,BROADWAY,PRIVATE, , ,Abies fraseri,SPRING,2016,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies fraseri,Non Native,0, , ,601-603 Broadway,0, ,BROADWAY, ,62016,1, ,1.08,0,6.5,INST,A, ,4,4.541666667,Fraser Fir,1687,1,1,0,54,1,OM,INST, , , , , TH ML EGB,0,0,0,0,0,0,6/26/2024 19:24,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:58,ANelson_clarku,238638.2904,904971.1609
1303,200225,5/7/2015,32 TUDOR STREET,PRIVATE, , ,Amelanchier arborea,SPRING,2015,CHELSEA,Rosaceae,Amelanchier,Deciduous,Broadleaf,Amelanchier arborea,Native,0, , ,2 Main street terrace,32, ,TUDOR,STREET,52015,1, ,1.86,0,9,SFR,A,FY,4,4.875,Downy Serviceberry,378,0,1,0,54,1,SC,MFR,No,1,Good, , JA AEC QCM ,4.4,36,0,0,14,16,6/25/2024 15:14,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238615.586,905249.2712
1427,200860,6/19/2014,46 GARDNER STREET,PRIVATE, , ,Prunus cerasifera 'Krauter Vesuvius',SPRING,2014,CHELSEA,Rosaceae,Prunus,Deciduous,Broadleaf,Prunus cerasifera,Non Native,0, , ,46 Gardner St,46, ,GARDNER,STREET,62014,1, ,1.7,0,10.5,SFR,A,FY,4,6.75,Cherry Plum,1417,0,1,0,37,1,FY,MFR,No,1,Fair, , MLAOCJHK,4.6,20,0,0,13,11,6/25/2024 18:31,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238796.992,905546.0868
1325,200446,4/24/2015,300 CRESCENT AVENUE,PRIVATE, ,300 Crescent ave School parking lot,Metasequoia glyptostroboides,SPRING,2015,CHELSEA,Cupressaceae,Metasequoia,Deciduous,Conifer,Metasequoia glyptostroboides,Non Native,0, , ,300 Crescent ave,300, ,CRESCENT,AVENUE,42015,N,School parking lot,1.29,0,10,INST,A,OM,4,4.75,Dawn Redwood,566,0,1,0,54,1,OM,INST, , , , , ACACKS,0,0,0,0,0,0,6/26/2024 19:09,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,239726.2239,905490.664
1328,200261,4/24/2015,10 SPENCER AVENUE,PUBLIC, ,Across 15 Spencer ave,Ostrya virginiana,SPRING,2015,CHELSEA,Betulaceae,Ostrya,Deciduous,Broadleaf,Ostrya virginiana,Native,0, , ,10 Spencer ave,10, ,SPENCER,AVENUE,42015,N,Across from 15 Spencer Ave,1.54,0,13.5,COMM,A,SC,4,3.75,American Hophornbeam,569,0,1,0,54,1,SC,INST, , , , , EGB ML TH,0,0,0,0,0,0,6/27/2024 17:42,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238912.5248,905135.7735
217,200390,11/10/2015,115 ADDISON STREET,PUBLIC, , ,Malus spp.,FALL,2015,CHELSEA,Rosaceae,Malus,Deciduous,Broadleaf,Malus spp.,Non Native,0, , ,115 Addison St,115, ,ADDISON,STREET,112015,Y, ,1.63,0,10.5,MFR,A,SC,4,5.125,Apple,347,1,1,0,51,1,SC,MFR,No,1,Good, , AN JHK QCM,6,37,0,0,18,16.5,6/26/2024 17:40,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:54,ANelson_clarku,238188.7551,905578.436
304,200670,4/14/2015,83 COTTAGE STREET,PUBLIC, ,SIde of 83 Cottage st ( on Highland),Cornus x rutgersensis,SPRING,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus x rutgersensis,Non Native,0, , ,83 Cottage st,83, ,COTTAGE,STREET,42015,N, ,2.45,0,11.5,MFR,A,SC,4,5.625,Rutgers Hybrid Dogwood,547,1,1,0,27,1,SC,MFR, , , , , TH EGB ML,0,0,0,0,0,0,6/26/2024 13:58,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:54,ANelson_clarku,238755.1026,904556.1226
704,200856,9/30/2014,CLARK AVENUE,PUBLIC, , ,Cornus kousa,FALL,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus kousa,Non Native,0, , ,222 Clark Ave,0, ,CLARK,AVENUE,92014,N, ,1.84,0,14,MFR,A,SC,4,3.25,Kousa Dogwood,1319,1,1,0,49,1,SC,MFR,No,3,Poor, ,  ACAC,2.4,49,0,0,10,5,6/26/2024 17:47,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,239374.9965,905766.1201
339,200602,5/27/2015,7 GARDNER STREET,PUBLIC, ,Cary ave near Gardner st in front of synagogue,Prunus subhirtella,SPRING,2015,CHELSEA,Rosaceae,Prunus,Deciduous,Broadleaf,Prunus subhirtella,Non Native,0, , ,7 Gardner st,7, ,GARDNER,STREET,52015,N, ,1.55,0,12.5,SFR,A,OM,4,4.375,Higan Cherry,631,1,1,0,54,1,MP,MP, , , , , JA AEC QCM ,0,0,0,0,0,0,6/25/2024 14:42,Stump,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:55,ANelson_clarku,238643.3416,905392.5102
1485,201076,6/3/2014,20 BROADWAY,PUBLIC, , ,Gymnocladus dioicus,SPRING,2014,CHELSEA,Fabaceae,Gymnocladus,Deciduous,Broadleaf,Gymnocladus dioicus,Native,0, , ,20 Broadway,20, ,BROADWAY, ,62014,Y,Large crown dieback,1.9,0,16,MP,A,MP,4,1.75,Kentucky Coffeetree,1632,0,1,0,54,1,SC,MP, , , , ,ACEGBJRK,0,0,0,0,0,0,6/24/2024 13:26,Stump,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,237457.6233,904169.6246
1489,200448,6/3/2014,20 BROADWAY,PUBLIC, , ,Quercus rubra,SPRING,2014,CHELSEA,Fagaceae,Quercus,Deciduous,Broadleaf,Quercus rubra,Native,0, , ,20 Broadway,20, ,BROADWAY, ,62014,N,Very large die back,3.25,0,16,MP,A,MP,4,8.25,Red Oak,1636,0,1,0,54,1,MP,MP, , , , , ACEGBJRK,0,0,0,0,0,0,6/24/2024 13:43,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,237506.1886,904197.5347
1398,200436,9/30/2014,HOOPER STREET,PUBLIC, , ,Cornus kousa,FALL,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus kousa,Non Native,0, , ,35 Hooper St,0, ,HOOPER,STREET,92014,N, ,2.09,0,11.5,SFR,A,SC,4,4.875,Kousa Dogwood,1317,0,1,0,48,1,SC,SFR-D, , , , , ACJRK,0,0,0,0,0,0,6/27/2024 15:18,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,239766.9333,905680.3531
1444,200861,5/5/2014,ESSEX STREET,PUBLIC, , ,Tilia cordata GREENSPIRE 'PNI 6025',SPRING,2014,CHELSEA,Malvaceae,Tilia,Deciduous,Broadleaf,Tilia cordata,Non Native,0, , ,137 Essex St,0, ,ESSEX,STREET,52014,N,"Trunk damage, smaped branches",1.8,0,11,MFR,A,SC,4,4.583333333,Littleleaf Linden,1526,0,1,0,54,1,SC,SFR-D, , , , , TH QCM,0,0,0,0,0,0,6/24/2024 15:37,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238526.0363,904228.3907
